Model,RTH1004
SerialNumber,104154
Firmware Version,'1.70.3.2'

Acquisition Time Stamp,2026-03-31 14:14:45.94301095,2026-03-31 14:14:45.94301095
Waveform Type,ANALOG,
Acquisition Mode,SAMPLE,
Horizontal Unit,s,
Horizontal Scale,0.2,
Horizontal Position,0.8,
Reference Point,50 %,
Sample Interval,1.6e-05,
Record Length,125000,
Probe Setting,'10:1','10:1'
Vertical Unit,V,V
Vertical Scale,2,2
Vertical Position,-3,0
Vertical Offset,0,0
History Index,0,0
History Time Stamp,0.000000000000,0.000000000000
,,
TIME,CH1,CH2
-0.2,-0.0862745,0.15686
-0.199984,-0.14902,0.12549
-0.199968,-0.0862745,0.15686
-0.199952,-0.0235294,0.18824
-0.199936,-0.054902,0.094118
-0.19992,-0.0862745,0.15686
-0.199904,-0.0235294,0.12549
-0.199888,-0.0862745,0.12549
-0.199872,-0.117647,0.12549
-0.199856,-0.0862745,0.12549
-0.19984,0.0392157,0.15686
-0.199824,-0.0235294,0.18824
-0.199808,-0.0862745,0.18824
-0.199792,-0.0862745,0.12549
-0.199776,-0.054902,0.15686
-0.19976,-0.054902,0.12549
-0.199744,-0.054902,0.094118
-0.199728,-0.0862745,0.12549
-0.199712,-0.0862745,0.12549
-0.199696,-0.0862745,0.094118
-0.19968,-0.117647,0.094118
-0.199664,-0.14902,0.062745
-0.199648,-0.054902,0.15686
-0.199632,-0.054902,0.031373
-0.199616,0.00784314,0.18824
-0.1996,-0.0862745,0.12549
-0.199584,-0.054902,0.15686
-0.199568,-0.054902,0.12549
-0.199552,0.00784314,0.12549
-0.199536,-0.054902,0.12549
-0.19952,-0.054902,0.12549
-0.199504,-0.0862745,0.15686
-0.199488,-0.0862745,0.18824
-0.199472,-0.0235294,0.18824
-0.199456,-0.0235294,0.12549
-0.19944,-0.054902,0.15686
-0.199424,-0.0235294,0.12549
-0.199408,0.00784314,0.12549
-0.199392,-0.0862745,0.12549
-0.199376,-0.0235294,0.094118
-0.19936,-0.0235294,0.15686
-0.199344,-0.054902,0.12549
-0.199328,-0.0862745,0.15686
-0.199312,-0.054902,0.12549
-0.199296,0.00784314,0.18824
-0.19928,-0.054902,0.12549
-0.199264,-0.0235294,0.094118
-0.199248,-0.054902,0.15686
-0.199232,-0.054902,0.12549
-0.199216,-0.0862745,0.21961
-0.1992,-0.0862745,0.18824
-0.199184,-0.0862745,0.15686
-0.199168,-0.0862745,0.18824
-0.199152,-0.117647,0.18824
-0.199136,-0.117647,0.21961
-0.19912,-0.0862745,0.15686
-0.199104,-0.14902,0.12549
-0.199088,-0.0862745,0.15686
-0.199072,-0.117647,0.094118
-0.199056,-0.054902,0.12549
-0.19904,-0.117647,0.15686
-0.199024,-0.14902,0.15686
-0.199008,0.0392157,0.15686
-0.198992,-0.0862745,0.15686
-0.198976,-0.0235294,0.12549
-0.19896,-0.117647,0.15686
-0.198944,-0.054902,0.094118
-0.198928,-0.0862745,0.15686
-0.198912,-0.0862745,0.15686
-0.198896,-0.117647,0.18824
-0.19888,-0.0235294,0.15686
-0.198864,-0.054902,0.12549
-0.198848,-0.0862745,0.12549
-0.198832,-0.0862745,0.18824
-0.198816,-0.0862745,0.15686
-0.1988,-0.054902,0.094118
-0.198784,-0.0862745,0.18824
-0.198768,-0.0235294,0.15686
-0.198752,0.00784314,0.12549
-0.198736,-0.180392,0.15686
-0.19872,-0.0235294,0.18824
-0.198704,-0.054902,0.21961
-0.198688,-0.054902,0.12549
-0.198672,-0.054902,0.12549
-0.198656,-0.054902,0.15686
-0.19864,-0.0862745,0.25098
-0.198624,-0.0862745,0.15686
-0.198608,0.00784314,0.12549
-0.198592,-0.054902,0.12549
-0.198576,-0.0862745,0.12549
-0.19856,-0.054902,0.15686
-0.198544,-0.054902,0.15686
-0.198528,-0.0862745,0.12549
-0.198512,-0.0862745,0.12549
-0.198496,-0.054902,0.21961
-0.19848,-0.054902,0.18824
-0.198464,-0.0235294,0.12549
-0.198448,-0.054902,0.18824
-0.198432,-0.0235294,0.12549
-0.198416,-0.054902,0.15686
-0.1984,-0.054902,0.15686
-0.198384,-0.0862745,0.18824
-0.198368,-0.054902,0.15686
-0.198352,-0.054902,0.12549
-0.198336,-0.0235294,0.12549
-0.19832,-0.054902,0.12549
-0.198304,-0.0862745,0.15686
-0.198288,-0.054902,0.18824
-0.198272,-0.054902,0.15686
-0.198256,-0.0235294,0.12549
-0.19824,0.0392157,0.15686
-0.198224,-0.054902,0.094118
-0.198208,-0.0235294,0.18824
-0.198192,-0.117647,0.15686
-0.198176,-0.0235294,0.18824
-0.19816,0.00784314,0.12549
-0.198144,-0.0862745,0.15686
-0.198128,-0.0235294,0.15686
-0.198112,-0.054902,0.15686
-0.198096,0.00784314,0.094118
-0.19808,-0.0235294,0.15686
-0.198064,-0.0235294,0.12549
-0.198048,0.00784314,0.12549
-0.198032,0.00784314,0.094118
-0.198016,-0.0235294,0.12549
-0.198,-0.054902,0.094118
-0.197984,-0.054902,0.12549
-0.197968,-0.054902,0.15686
-0.197952,-0.054902,0.12549
-0.197936,-0.117647,0.12549
-0.19792,0.00784314,0.15686
-0.197904,-0.0862745,0.15686
-0.197888,0.00784314,0.18824
-0.197872,-0.0235294,0.12549
-0.197856,-0.0862745,0.15686
-0.19784,-0.117647,0.21961
-0.197824,-0.14902,0.12549
-0.197808,-0.054902,0.21961
-0.197792,-0.117647,0.15686
-0.197776,-0.054902,0.15686
-0.19776,-0.054902,0.12549
-0.197744,-0.0862745,0.12549
-0.197728,-0.0235294,0.12549
-0.197712,-0.054902,0.094118
-0.197696,0.0392157,0.15686
-0.19768,-0.0862745,0.12549
-0.197664,-0.0235294,0.15686
-0.197648,-0.054902,0.12549
-0.197632,-0.054902,0.15686
-0.197616,-0.0235294,0.15686
-0.1976,-0.054902,0.12549
-0.197584,-0.0235294,0.15686
-0.197568,-0.0862745,0.15686
-0.197552,0.0392157,0.12549
-0.197536,-0.054902,0.12549
-0.19752,-0.0862745,0.094118
-0.197504,-0.054902,0.15686
-0.197488,-0.0862745,0.15686
-0.197472,-0.0862745,0.15686
-0.197456,0.00784314,0.12549
-0.19744,-0.0862745,0.15686
-0.197424,-0.054902,0.15686
-0.197408,-0.0862745,0.094118
-0.197392,-0.054902,0.18824
-0.197376,-0.0235294,0.15686
-0.19736,-0.054902,0.12549
-0.197344,0.0392157,0.15686
-0.197328,-0.054902,0.18824
-0.197312,-0.054902,0.15686
-0.197296,-0.0862745,0.18824
-0.19728,-0.0862745,0.12549
-0.197264,-0.0235294,0.062745
-0.197248,-0.0862745,0.18824
-0.197232,-0.0862745,0.15686
-0.197216,-0.054902,0.15686
-0.1972,-0.054902,0.12549
-0.197184,-0.054902,0.12549
-0.197168,-0.117647,0.15686
-0.197152,0.0392157,0.15686
-0.197136,-0.054902,0.12549
-0.19712,-0.054902,0.15686
-0.197104,0.0392157,0.12549
-0.197088,-0.0862745,0.12549
-0.197072,-0.0862745,0.094118
-0.197056,-0.054902,0.15686
-0.19704,-0.0862745,0.15686
-0.197024,-0.0862745,0.15686
-0.197008,-0.054902,0.15686
-0.196992,-0.054902,0.15686
-0.196976,-0.0862745,0.15686
-0.19696,-0.054902,0.15686
-0.196944,-0.0862745,0.15686
-0.196928,-0.0235294,0.21961
-0.196912,0.0392157,0.15686
-0.196896,-0.054902,0.15686
-0.19688,-0.054902,0.12549
-0.196864,-0.0862745,0.15686
-0.196848,-0.0235294,0.12549
-0.196832,-0.054902,0.15686
-0.196816,-0.054902,0.15686
-0.1968,-0.0235294,0.15686
-0.196784,-0.0862745,0.094118
-0.196768,-0.054902,0.12549
-0.196752,-0.054902,0.094118
