Model,RTH1004
SerialNumber,104154
Firmware Version,'1.70.3.2'

Acquisition Time Stamp,2026-04-01 09:54:10.558816334,2026-04-01 09:54:10.558816334
Waveform Type,ANALOG,
Acquisition Mode,SAMPLE,
Horizontal Unit,s,
Horizontal Scale,0.2,
Horizontal Position,0.8,
Reference Point,50 %,
Sample Interval,1.6e-05,
Record Length,125000,
Probe Setting,'10:1','10:1'
Vertical Unit,V,V
Vertical Scale,2,2
Vertical Position,-3,0
Vertical Offset,0,0
History Index,0,0
History Time Stamp,0.000000000000,0.000000000000
,,
,CH1,CH2
,0.0392157,4.8314
,0.0392157,4.9882
,0.0392157,4.8627
,-0.054902,4.8314
,-0.0235294,4.9255
,-0.0235294,4.8627
,0.0392157,4.8627
,0.0392157,4.8941
,0.0392157,4.8627
,0.00784314,4.8941
,0.00784314,4.9255
,0.00784314,4.8941
,-0.0235294,4.8314
,0.0392157,4.9882
,-0.0235294,4.9255
,0.0705882,4.9255
,0.0392157,4.9255
,-0.0235294,4.9569
,0.0705882,4.8314
,-0.0235294,4.9569
,0.00784314,4.9569
,0.0705882,4.8314
,-0.0235294,4.8941
,-0.0235294,4.8627
,0.0392157,4.8314
,0.101961,4.8314
,0.00784314,4.9255
,0.00784314,4.8627
,-0.0235294,4.9255
,-0.0235294,4.9255
,-0.054902,4.8627
,-0.0235294,4.8941
,0.0392157,4.9569
,-0.0235294,4.8941
,0.00784314,4.8314
,0.00784314,4.8941
,0.0392157,4.8941
,0.0705882,4.8941
,0.00784314,4.9255
,-0.0862745,4.8941
,0.00784314,4.8314
,0.0705882,4.8941
,-0.054902,4.8627
,0.00784314,4.8627
,0.0392157,4.8941
,0.0392157,4.9255
,0.00784314,4.8314
,0.0392157,4.8941
,-0.054902,4.9255
,-0.054902,4.8314
,0.0392157,4.9255
,-0.0235294,4.8941
,0.00784314,4.9255
,0.0392157,4.8314
,0.0392157,4.8941
,0.101961,4.8941
,0.0392157,4.8627
,0.00784314,4.9569
,0.0705882,4.8314
,-0.0235294,4.8941
,-0.054902,4.9255
,0.00784314,4.8314
,-0.0235294,4.8314
,-0.0235294,4.8627
,0.00784314,4.8627
,0.0705882,4.8941
,0.00784314,4.8627
,-0.054902,4.8941
,-0.0235294,4.8
,-0.0235294,4.9255
,0.00784314,4.8627
,-0.0862745,4.8314
,0.0392157,4.9882
,0.0392157,4.9569
,-0.0235294,4.8627
,0.00784314,4.9255
,-0.0235294,4.9255
,0.00784314,4.8941
,-0.0235294,4.9255
,-0.0235294,4.9569
,0.00784314,4.8627
,0.00784314,4.8941
,-0.0235294,4.9569
,0.0392157,4.8941
,0.101961,4.8314
,-0.0235294,4.9569
,0.00784314,4.8627
,0.0705882,4.8
,0.0392157,4.9255
,-0.0235294,4.8941
,0.0392157,4.8941
,0.0392157,4.9255
,0.00784314,4.9255
,-0.0235294,4.8314
,0.0392157,4.9255
,0.0392157,4.9255
,-0.054902,4.8627
,0.0705882,4.8941
,0.0392157,4.8941
,-0.0235294,4.9255
,0.0392157,4.8627
,-0.0235294,4.9569
,0.00784314,4.8314
,0.0392157,4.9255
,0.0392157,4.9255
,0.0392157,4.8627
,0.00784314,4.8941
,0.133333,4.9255
,0.0392157,4.8941
,-0.0235294,4.8
,0.00784314,4.8627
,0.0392157,4.8941
,-0.0235294,4.8627
,-0.0235294,4.8941
,0.101961,4.8941
,-0.0235294,4.7686
,0.0392157,4.8941
,-0.0235294,4.8941
,-0.0235294,4.8
,-0.054902,4.8627
,0.0705882,4.9255
,-0.0235294,4.8314
,0.00784314,4.9569
,0.00784314,4.9569
,0.0705882,4.8314
,-0.0235294,4.8941
,0.0392157,4.9569
,-0.0235294,4.8627
,0.133333,4.8941
,-0.0235294,4.9255
,-0.0235294,4.8627
,0.0705882,4.9255
,0.00784314,4.9255
,0.00784314,4.8941
,0.0705882,4.8314
,0.0392157,4.8941
,0.101961,4.8314
,-0.054902,4.8314
,0.00784314,4.9255
,0.00784314,4.8627
,0.0392157,4.8627
,0.0392157,4.8314
,0.0705882,4.8314
,0.0392157,4.8941
,0.0705882,4.8314
,0.0705882,4.9255
,0.00784314,4.8627
,0.0392157,4.8627
,-0.0235294,4.9255
,0.00784314,4.8314
,0.0705882,4.8941
,-0.0235294,4.9255
,-0.0235294,4.8314
,0.0705882,4.9569
,0.0705882,4.9255
,-0.0235294,4.9255
,-0.0235294,4.9569
,0.0392157,4.9569
,0.101961,4.8627
,0.00784314,4.9255
,-0.0235294,4.9569
,0.0392157,4.8627
,0.0705882,4.8314
,0.0392157,4.8941
,0.0705882,4.8627
,0.00784314,4.8314
,-0.0235294,4.8314
,0.00784314,4.8627
,-0.0235294,4.8627
,-0.0235294,4.8314
,-0.054902,4.9255
,-0.0235294,4.8941
,0.133333,4.9255
,-0.0235294,4.8941
,-0.0235294,4.8314
,0.0392157,4.8627
,0.0392157,4.9569
,0.0705882,4.8941
,0.0392157,4.9255
,0.133333,4.9255
,-0.0235294,4.9255
,-0.054902,4.8941
,0.00784314,4.9882
,-0.0235294,4.8941
,0.0392157,4.8314
,0.0392157,4.8314
,0.133333,4.8627
,0.00784314,4.8314
,-0.0235294,4.9255
,-0.0235294,4.8941
,-0.0235294,4.8314
,0.00784314,4.9255
,0.00784314,4.8314
,0.0392157,4.8627
,-0.0235294,4.8941
,0.0392157,4.8627
,0.00784314,4.8627
,-0.054902,4.8627
,0.00784314,4.8627
,-0.054902,4.8
,-0.0235294,4.8941
,0.0392157,4.8941
,0.0392157,4.8941
,-0.054902,4.8941
,-0.054902,4.9569
,-0.0235294,4.9569
,-0.0235294,4.8627
,-0.0235294,4.8627
,-0.054902,4.8627
,-0.0235294,4.8
,0.0392157,4.8627
,0.0705882,4.9255
,-0.0862745,4.8
,0.0705882,4.8627
,0.00784314,4.8314
,0.0392157,4.8627
,0.00784314,4.8627
,0.00784314,4.8627
,0.00784314,4.8941
,0.0392157,4.9255
,0.00784314,4.8941
,0.00784314,4.9255
,0.00784314,4.8314
,0.0705882,4.8941
,0.101961,4.8941
,0.0392157,4.9255
,0.101961,4.8941
,-0.054902,4.8941
,0.0392157,4.8941
,0.0392157,4.8941
,0.00784314,4.8941
,0.0705882,4.8627
,-0.0235294,4.8627
,0.00784314,4.8627
,-0.0235294,4.8941
,-0.0235294,4.8941
,-0.0235294,4.8941
,-0.054902,4.8627
,0.0392157,4.8941
,-0.0235294,4.8314
,0.00784314,4.8314
,0.0392157,4.9255
,0.0392157,4.9255
,0.0705882,4.9255
,-0.054902,4.9255
,0.0392157,4.9255
,0.0705882,4.9255
,0.0392157,4.8941
,-0.054902,4.9255
,0.00784314,4.8627
,-0.0235294,4.8941
,0.0392157,4.8941
,0.00784314,4.8314
,0.00784314,4.9255
,0.0392157,4.8941
,0.00784314,4.8941
,-0.0235294,4.9255
,-0.0235294,4.9569
,0.0392157,4.8627
,0.0392157,4.8314
,-0.054902,4.9569
,0.00784314,4.8627
,0.133333,4.8314
,-0.0235294,4.8941
,0.0392157,4.9569
,-0.0235294,4.8941
,-0.0862745,4.8941
,0.0705882,4.8627
,0.133333,4.8627
,-0.0235294,4.8627
,-0.0235294,4.9255
,0.0392157,4.8941
,-0.0235294,4.8627
,0.00784314,4.9255
,0.00784314,4.8941
,-0.054902,4.9255
,0.0392157,4.9569
,-0.0235294,4.8941
,0.00784314,4.8941
,-0.0235294,4.9255
,0.0705882,4.8627
,-0.0235294,4.8941
,-0.054902,4.9255
,0.00784314,4.8941
,0.133333,4.8941
,0.0392157,4.8941
,0.0392157,4.8314
,-0.0235294,4.8314
,0.0392157,4.9255
,0.101961,4.8
,0.00784314,4.8314
,0.00784314,4.9255
